ASSESSMENT_UNIT_ID,USE_NAME,USE_AGENCY_CODE,USE_TREND,USE_THREATENED,USE_ASMT_BASIS,USE_MONITORING_START,USE_MONITORING_END,USE_ASMT_DATE,USE_ASSESSOR_NAME,USE_COMMENT,USE_STATE_IR_CAT,USE_ORG_QUALIFIER_FLAG
AK_B_1010204_005,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",S,,,,2018-05-17,2022-09-01,,,,,
AK_B_1010204_005,MARINE / WATER RECREATION / CONTACT RECREATION,S,,,,2018-05-17,2022-09-01,,,,,
AK_B_1010204_005,MARINE / WATER RECREATION / SECONDARY RECREATION,S,,,,2018-05-17,2022-09-01,,,,,
AK_B_1010204_005,MARINE / WATER SUPPLY / AQUACULTURE,S,,,,2018-05-17,2022-09-01,,,,,
AK_B_1010204_005,MARINE / WATER SUPPLY / INDUSTRIAL,S,,,,2018-05-17,2022-09-01,,,,,
AK_B_1010204_005,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,S,,,,2018-05-17,2022-09-01,,,,,
AK_B_1010204_006,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",S,,,,2018-05-17,2021-09-01,,,,,
AK_B_1010204_006,MARINE / WATER RECREATION / CONTACT RECREATION,S,,,,2018-05-17,2021-09-01,,,,,
AK_B_1010204_006,MARINE / WATER RECREATION / SECONDARY RECREATION,S,,,,2018-05-17,2021-09-01,,,,,
AK_B_1010204_006,MARINE / WATER SUPPLY / AQUACULTURE,S,,,,2018-05-17,2021-09-01,,,,,
AK_B_1010204_006,MARINE / WATER SUPPLY / INDUSTRIAL,S,,,,2018-05-17,2021-09-01,,,,,
AK_B_1010204_006,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,S,,,,2018-05-17,2021-09-01,,,,,
AK_B_1010204_007,"MARINE / GROWTH AND PROPAGATION OF FISH, SHELLFISH, OTHER AQUATIC LIFE AND WILDLIFE",S,,,,2018-05-17,2022-09-01,,,,,
AK_B_1010204_007,MARINE / WATER RECREATION / CONTACT RECREATION,S,,,,2018-05-17,2022-09-01,,,,,
AK_B_1010204_007,MARINE / WATER RECREATION / SECONDARY RECREATION,S,,,,2018-05-17,2022-09-01,,,,,
AK_B_1010204_007,MARINE / WATER SUPPLY / AQUACULTURE,S,,,,2018-05-17,2022-09-01,,,,,
AK_B_1010204_007,MARINE / WATER SUPPLY / INDUSTRIAL,S,,,,2018-05-17,2022-09-01,,,,,
AK_B_1010204_007,MARINE / WATER SUPPLY / SEAFOOD PROCESSING,S,,,,2018-05-17,2022-09-01,,,,,
