Active_AUID,Retired_AUID,Historical_AUID
AK_R_2030111_001,AK-20301-029,
AK_R_2030111_010,AK-20301-013_00,
AK_R_2030112_001,AK-20301-017,
AK_R_2030112_002,AK-20301-014,AK-20301-014_00
AK_R_2030204_023,AK-20302-003_00,
AK_R_2030204_026,AK-20302-001_00,
AK_R_2030205_010,AK-20301-019,AK-20301-019_00
AK_R_2030205_017,AK-20302-002_00,
AK_R_2030207_002,AK-20302-013,
AK_R_2030207_004,AK-20401-415_00,
AK_R_2030207_005,AK-20401-416_00,AK-20401-008_00
AK_R_2030207_007,AK-20401-026,AK-20401-414_00
AK_R_2030210_003,AK-20302-014,
AK_R_2030211_007,AK-20302-008_00,
AK_R_2030214_001,AK-20302-011,
AK_R_2030214_007,AK-20302-005_00,
AK_R_2030216_002,AK-20302-009_00,
AK_R_2030217_001,AK-20302-006_00,
AK_R_2030218_001,AK-20302-007_00,
AK_R_2030218_002_001,AK-20302-005_00,
AK_R_2030218_002_002,AK-20302-005_00,
AK_R_2030218_006,AK-20302-010,
AK_R_2030218_007,AK-20302-004,AK-20302-004_00
AK_R_2030218_008,AK-20302-012,AK-20302-010_00
AK_R_2040101_002,AK-20402-403_00,
AK_R_2040102_002,AK-20401-001_00,
AK_R_2040103_003_001,AK-20401-025_00,AK-20302-601_00
AK_R_2040103_003_003,AK-20402-002_00,AK-20401-002_00
AK_R_2040104_002_001,AK-20401-020_00,
AK_R_2040105_002,AK-20505-407,
AK_R_2040105_003,AK-20505-011,
AK_R_2040105_004,AK-20505-006_00,
AK_R_2040106_001,AK-20401-004_00,
AK_R_2040106_004,AK-20401-017_00,
AK_R_2040107_002,AK-20401-006_00,
AK_R_2040107_003_001,AK-20401-024_00,
AK_R_2040107_004,AK-20401-021,AK-20401-021_00
AK_R_2040107_005,AK-20401-007_00,
AK_R_2040107_007,AK-20401-018_00,
AK_R_2040108_003,AK-20401-003_00,
AK_R_2040108_004_001,AK-20505-001_00,
AK_R_2040108_009,AK-20401-005_00,
AK_R_2040108_010,AK-20505-008_00,
AK_R_2040108_022,AK-20505-002_00,
AK_R_2040108_023,AK-20402-006,AK-20402-006_00
AK_R_2040207_013_002,AK-20402-001_00,
AK_R_2040212_002,AK-20402-003_00,
AK_R_2040212_007,AK-20402-004_00,
AK_R_2040212_009,AK-20402-005_00,
AK_R_2050115_001,AK-20501-001,AK-20501-001_00
AK_R_2050206_004,AK-20502-003,
AK_R_2050206_005,AK-20502-005,
